isEating, maxMin, dwt, slope, fourier, median
1,0.053,-26.69328099,0.068711998,14948,-5.625
1,0.036,-8.308504679,0.279793148,1560,-4.8435
1,0.025,4.242640687,-0.119235391,1340,-9.875
1,0.038,-21.16936282,0.261370366,1402,-10.375
1,0.053,-25.94233359,0.205512944,5234,-6.875
1,0.142,-33.58757211,0.192196241,7574,-16.8125
1,0.018,-6.629126074,0.218063681,1075,-8
1,0.06,-18.34022858,0.03445779,4706,-14
1,0.035,-20.37386769,0.173228468,4787,-10.187
1,0.066,-30.84824044,0.142546864,3819,-13.875
1,0.109,-19.70989442,0.112696912,7076,-11.938
1,0.053,-13.39048112,0.048689408,1454,-5.062
1,0.025,-27.75394116,0.143529214,6094,-11.0625
1,0.071,-22.09708691,0.182135237,4754,-18.344
1,0.115,-26.82550996,0.044049523,3516,-14.5
1,0.105,-9.457553198,0.318413083,3386,-10.5
1,0.016,-25.10229073,0.450880282,6756,-6.625
1,0.047,-35.84112142,0.330779169,4198,-15.75
1,0.041,-13.87697058,0.082381648,11954,-12.906
1,0.024,-25.76555689,0.080099047,4455,-7.0315
1,0.017,-52.76855065,0.367426014,13232,-14.75
1,0.109,-21.87576249,0.152282465,4517,-21.6565
1,0.063,-9.634329894,0.285741849,4135,-8.687
1,0.071,-22.09708691,0.212353626,1620,-13.875
1,0.089,-29.03521865,0.337220308,9177,-11.6565
1,0.063,-42.95673696,0.499784178,7381,-8.0625
1,0.029,-16.35184431,0.159847699,1751,-5.438
1,0.073,-24.83641858,0.358380885,3198,-18.25
1,0.02,-29.43261266,0.326702248,16144,4
1,0.07,-32.6591409,0.386671282,9602,-8.8125
1,0.023,-38.13992556,0.272987346,4765,-9.688
1,0.034,-32.17335854,0.289145182,2114,-6
1,0.014,-18.20799962,0.405530364,16653,-5.562
1,0.039,-28.63782464,0.146972917,11932,-11
1,0.018,-28.59327691,0.094745419,13479,-15.938
1,0.04,-35.17856236,0.182993743,4300,-4.562
1,0.036,-41.18897,0.38919745,21482,-1.312
1,0.041,-28.50559567,0.348759431,8108,-20.031
1,0.063,-27.48806901,0.346389514,3523,-17.938
1,0.061,-33.05724202,0.333050712,5757,-8.1565
1,0.019,-22.31841133,0.643146838,10751,-4.5
1,0.046,-27.70939343,0.623890379,4516,-11.375
1,0.035,-20.41841541,0.320226405,6861,-7.062
1,0.016,-24.13001891,0.285907938,8411,-10.0315
1,0.025,-21.78808125,0.504133129,17390,-5.312
1,0.056,-37.60888837,0.560769468,22218,-9.594
1,0.035,-26.73712161,0.216686809,17155,-13.7185
1,0.04,-46.1832652,0.637596127,1747,-8.219
1,0.025,-18.60539363,0.449713048,5944,-10.25
1,0.047,-39.15674511,0.14679072,9955,-15.969
1,0.049,-18.95965412,0.433052781,9000,-10.688
1,0.049,-29.83071378,0.323090592,17792,-8.875
1,0.027,-21.92031022,0.371160516,15269,-9.688
1,0.065,-38.22831391,0.499930804,26107,-8.188
1,0.022,-13.96535893,0.467196841,2480,-2.313
1,0.019,-18.25184024,0.404714424,13504,-11
1,0.019,-17.14733944,0.287400699,11546,-8.9375
1,0.044,-32.26174689,0.319764577,9824,-16.1875
1,0.073,-14.2750717,0.500869041,10115,-14.0315
1,0.016,-11.04854346,0.247590071,7417,-10.125
1,0.029,-20.41770831,0.329852063,26701,-7.188
1,0.023,-25.01460949,0.438469338,14158,-12.9685
1,0.035,-20.85965005,0.344475547,14468,-16.562
1,0.014,-20.90419777,0.463775259,5925,-9.938
1,0.033,-26.25204636,0.392175533,22868,-1.4375
1,0.023,-31.28947507,0.403774878,45520,-7.375
1,0.013,-7.114908432,0.192408085,6045,-9.812
1,0.026,-12.63953371,0.298362369,4492,-12.125
1,0.069,-39.73020871,0.030688966,6553,-1.875
1,0.059,-40.17215045,0.054239863,18303,-3.625
1,0.094,-32.92501305,0.032382681,5323,1.562
1,0.171,-63.77254638,0.081737589,5398,-12.687
1,0.026,-27.88687724,0.340346966,3113,-4.6875
1,0.063,-44.54772721,0.294117405,8430,-10.4065
1,0.057,-6.894291117,0.104025216,2604,2.0625
1,0.074,-14.23052397,0.144865576,2898,4.0625
1,0.11,-62.35762571,0.167202016,4587,-11.938
1,0.07,-33.9411255,0.305965613,2222,-14.562
1,0.165,-79.85851855,0.14424254,4594,-16.3125
1,0.077,-34.38236013,-0.005459813,5060,1.75
1,0.145,-87.90185818,0.356708826,1784,-14.25
1,0.048,-30.71530436,0.38446486,2819,-8.062
1,0.033,-11.53432581,0.16403526,5409,-2.625
1,0.094,-18.47316466,-0.060815923,9639,7.875
1,0.059,-58.86663953,0.38585635,7360,-7.1875
1,0.033,-16.70539771,0.301867519,4828,1.7815
1,0.089,-7.160163266,0.324345076,1458,8.75
1,0.087,-14.98147137,0.110493014,1721,3.25
1,0.115,-99.61437491,-0.246961966,4192,-15.6565
1,0.079,-38.05153722,0.270474556,3815,-8.375
1,0.049,-17.6331218,0.017056841,9674,-3.062
1,0.035,-16.13051989,0.036741542,2757,-1.656
1,0.048,-12.68408144,0.213349051,2466,3.062
1,0.072,-42.73611964,0.393882698,2267,-3
1,0.101,-64.78865883,0.048388962,5130,2.875
1,0.03,-26.51650429,-0.23794301,1557,7.688
1,0.094,-22.67125762,0.160740739,2557,4.875
1,0.043,-30.49397994,0.516512964,1978,-5.7815
1,0.107,-18.29568086,-0.036275646,6734,7.25
1,0.04,-27.13451562,-0.008850174,2919,-5.25
1,0.029,-20.72671397,0.17334991,1018,3.062
1,0.03,-9.28148361,0.317778649,2160,-3.562
1,0.154,-88.91867773,0.146120943,2900,-12.875
1,0.13,-2.298097039,-0.154862207,1678,15.562
1,0.033,-28.5501434,0.391951597,2973,6.812
1,0.02,-23.82030614,0.040836531,1761,1.688
1,0.089,-25.4120035,0.203482219,3051,-11.625
1,0.096,-27.53261674,0.108125089,2208,2.25
1,0.044,-14.58337026,0.024809854,936,3.25
1,0.039,-24.74873734,0.395283295,2552,-2.5935
1,0.052,-25.89778586,0.305419934,4183,-9.094
1,0.093,-17.76605788,0.049438456,3515,-3.312
1,0.043,-24.21840726,0.027220913,2352,-2.5935
1,0.035,-27.71010054,0.109268614,2029,-0.156
1,0.112,-44.54772721,0.174385099,10658,-8.125
1,0.013,-4.154252339,0.005767984,3680,-0.375
1,0.042,-12.37436867,0.186765113,1463,-6.438
1,0.072,-19.97576657,0.226628027,3636,5.25
1,0.083,-29.21199534,0.22373055,2731,-11.312
1,0.014,-15.15895518,-0.021077285,1157,2.3435
1,0.024,-5.878178672,-0.163443306,1200,1.906
1,0.025,-17.76676498,0.254160124,1757,-0.7185
1,0.076,-24.48286519,0.346864181,1645,-13.75
1,0.06,-24.92551404,0.323282001,1978,-6.7815
1,0.054,-27.2681588,0.26319869,1078,-7.938
1,0.035,-26.51650429,0.358106096,2114,-1.125
1,0.073,-26.73782872,0.330011335,3720,-15.688
1,0.036,-17.01511048,0.124583486,1575,-5.125
1,0.038,-27.35654715,0.19520272,1998,-3.312
1,0.046,-16.44023266,0.33650756,1993,-1.312
1,0.044,-15.15895518,0.45844399,3282,-8.125
1,0.025,-11.53432581,0.014932185,2275,0.188
1,0.024,-24.52812003,-0.081158024,1524,-5.4065
1,0.028,-24.3060885,0.240756814,6475,-0.5935
1,0.088,-46.66904756,0.528814898,12340,-5.812
1,0.049,-11.53432581,0.158282426,1094,-9.562
1,0.029,-21.69898579,0.113741675,1111,-1.812
1,0.021,-21.03642674,0.280531892,3657,-3.313
1,0.038,-15.29047704,0.445741437,5064,-4.219
1,0.003,-7.513716657,-0.377970154,2048,7.125
1,0.013,-16.79378605,-0.296599883,3216,1.188
1,0.035,-43.3993858,0.441962004,5051,3.125
1,0.051,-26.87005769,0.514135999,616,-14.219
1,0.055,-17.54544056,0.242429443,2924,-8.188
1,0.032,-20.50609665,-0.077218913,1722,-1.5
1,0.026,-27.75394116,0.531635197,1994,-3.469
1,0.051,-22.09708691,0.403039901,6162,-4.375
1,0.042,-22.84803431,0.328754418,1258,-7.5
1,0.031,-23.15774708,0.266044981,1046,-2.312
1,0.079,-59.08725685,-0.066543693,15159,0.0935
1,0.221,-21.21320344,-0.000460723,114340,-1.188
1,0.217,-21.21320344,0.001975082,257692,-1.188
1,0.238,-24.79328507,0.001875338,331737,-0.812
1,0.324,-25.89849297,0.000740532,447197,-0.625
1,0.34,-28.9468303,0.000291999,602457,-0.75
1,0.328,-29.56625584,0.000232808,678120,-0.625
1,0.332,-32.262454,0.000268897,785190,-0.562
1,0.347,-33.67596045,0.000146761,954382,-0.562
1,0.359,-35.44372741,0.000168032,1051870,-0.688
1,0.359,-35.53211575,7.04E-05,1128373,-0.625
1,0.369,-36.90178159,0.000153636,1121426,-0.562
1,0.376,-37.91860114,0.000195328,1194382,-0.562
1,0.39,-38.49277185,0.000244277,1303841,-0.5935
1,0.39,-39.24442636,0.000234068,1481693,-0.688
1,0.39,-39.24442636,0.000240059,1466393,-0.562
1,0.401,-39.73091582,0.000206,1498083,-0.562
1,0.426,-39.28826698,0.000203884,1544276,-0.5
1,0.434,-39.95153314,0.00023959,1401673,-0.75
1,0.434,-41.32119897,0.000225031,1451094,-0.562
1,0.468,-41.80768844,0.000200207,1511626,-0.688
1,0.473,-41.80768844,0.000146745,1575451,-0.75
1,0.473,-41.32119897,0.000192343,1630253,-0.688
1,0.477,-42.60318357,0.00019341,1673172,-0.688
1,0.48,-42.20578956,0.000157465,1598525,-0.75
1,0.477,-42.55863584,0.000105624,1641695,-0.75
1,0.475,-43.62000312,0.000106993,1702127,-0.75
1,0.477,-44.28256217,0.000106244,1882544,-0.688
1,0.481,-43.62000312,0.000126907,1773123,-0.688
1,0.485,-43.57545539,0.000123888,1815451,-0.75
1,0.485,-43.57545539,0.000140868,1866904,-0.688
1,0.481,-44.28256217,0.000111729,1926493,-0.625
1,0.481,-43.79677981,8.74E-05,1976319,-0.688
1,0.481,-44.06123775,8.11E-05,2049349,-0.688
