groupId, dtAcc, dtPrec, dtRec, dtF1, dtROC, svmAcc, svmPrec, svmRec, svmF1, svmROC, nnAcc, nnPrec, nnRec, nnF1, nnROC
1,0.9365079365079,0.8888888888889,1,0.9411764705882,0.9939516129032,0.9365079365079,0.9117647058824,0.96875,0.9393939393939,0.9949596774194,0.952380952381,0.9142857142857,1,0.955223880597,1
2,0.90625,1,0.8125,0.8965517241379,0.90625,0.953125,0.9142857142857,1,0.955223880597,0.9921875,0.9375,0.9117647058824,0.96875,0.9393939393939,0.9853515625
3,1,1,1,1,1,0.984126984127,0.969696969697,1,0.9846153846154,1,0.984126984127,0.969696969697,1,0.9846153846154,1
4,0.968253968254,0.9411764705882,1,0.969696969697,0.9677419354839,1,1,1,1,1,1,1,1,1,1
5,0.9365079365079,1,0.875,0.9333333333333,0.9375,0.984126984127,0.969696969697,1,0.9846153846154,0.9979838709677,0.952380952381,0.9393939393939,0.96875,0.9538461538462,0.9949596774194
6,1,1,1,1,1,0.968253968254,1,0.9375,0.9677419354839,1,0.968253968254,1,0.9375,0.9677419354839,1
7,0.7460317460317,0.7,0.875,0.7777777777778,0.866935483871,0.8730158730159,1,0.75,0.8571428571429,0.991935483871,0.9206349206349,1,0.84375,0.9152542372881,0.991935483871
8,0.8730158730159,0.8,1,0.8888888888889,0.9072580645161,0.9365079365079,0.8888888888889,1,0.9411764705882,0.9979838709677,0.952380952381,0.9142857142857,1,0.955223880597,0.9939516129032
9,0.9206349206349,0.8648648648649,1,0.9275362318841,0.9193548387097,0.968253968254,0.9411764705882,1,0.969696969697,0.9909274193548,0.952380952381,0.9142857142857,1,0.955223880597,0.9989919354839
10,0.8387096774194,0.7619047619048,1,0.8648648648649,1,0.9677419354839,0.9411764705882,1,0.969696969697,0.9958333333333,0.8709677419355,0.8,1,0.8888888888889,0.9916666666667
11,0.6349206349206,0.7647058823529,0.40625,0.530612244898,0.6900201612903,0.6190476190476,0.7857142857143,0.34375,0.4782608695652,0.7247983870968,0.6984126984127,0.76,0.59375,0.6666666666667,0.7217741935484
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.6984126984127,0.8421052631579,0.5,0.6274509803922,0.7096774193548,0.968253968254,0.96875,0.96875,0.96875,0.9939516129032,0.968253968254,0.96875,0.96875,0.96875,0.9889112903226
15,0.9047619047619,1,0.8125,0.8965517241379,0.90625,0.9047619047619,0.9642857142857,0.84375,0.9,0.9838709677419,0.9047619047619,0.9642857142857,0.84375,0.9,0.9858870967742
16,0.8412698412698,0.7619047619048,1,0.8648648648649,0.8387096774194,0.7777777777778,0.695652173913,1,0.8205128205128,0.9122983870968,0.8571428571429,0.780487804878,1,0.8767123287671,0.9344758064516
17,0.968253968254,0.9411764705882,1,0.969696969697,0.9677419354839,0.9206349206349,0.8648648648649,1,0.9275362318841,1,1,1,1,1,1
18,0.952380952381,0.9677419354839,0.9375,0.952380952381,0.9778225806452,0.7777777777778,0.9090909090909,0.625,0.7407407407407,0.8649193548387,0.8571428571429,0.8709677419355,0.84375,0.8571428571429,0.9243951612903
19,0.952380952381,0.9677419354839,0.9375,0.952380952381,0.9677419354839,0.9365079365079,0.8888888888889,1,0.9411764705882,0.9959677419355,1,1,1,1,1
20,0.9838709677419,0.96875,1,0.984126984127,0.9838709677419,1,1,1,1,1,1,1,1,1,1
21,0.9365079365079,0.9117647058824,0.96875,0.9393939393939,0.9375,0.968253968254,0.9411764705882,1,0.969696969697,0.9959677419355,0.968253968254,0.9411764705882,1,0.969696969697,1
22,1,1,1,1,1,0.9375,1,0.875,0.9333333333333,0.998046875,0.984375,1,0.96875,0.984126984127,1
23,0.7619047619048,0.7575757575758,0.78125,0.7692307692308,0.8099798387097,0.9206349206349,0.8857142857143,0.96875,0.9253731343284,0.9657258064516,0.952380952381,0.9142857142857,1,0.955223880597,0.9889112903226
24,0.9710144927536,1,0.9428571428571,0.9705882352941,0.9714285714286,0.9855072463768,0.9722222222222,1,0.9859154929577,0.9966386554622,0.9855072463768,0.9722222222222,1,0.9859154929577,0.9941176470588
25,0.9365079365079,0.9117647058824,0.96875,0.9393939393939,0.9359879032258,0.968253968254,0.96875,0.96875,0.96875,0.9929435483871,0.968253968254,0.96875,0.96875,0.96875,0.9838709677419
26,0.9206349206349,0.8648648648649,1,0.9275362318841,0.9813508064516,0.984126984127,1,0.96875,0.984126984127,0.9979838709677,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0.984126984127,0.969696969697,1,0.9846153846154,0.9838709677419,1,1,1,1,1,0.984126984127,0.969696969697,1,0.9846153846154,1
29,0.921875,0.9090909090909,0.9375,0.9230769230769,0.93408203125,0.984375,1,0.96875,0.984126984127,0.98681640625,0.984375,1,0.96875,0.984126984127,0.99072265625
30,0.9,0.9615384615385,0.8333333333333,0.8928571428571,0.9372222222222,0.9166666666667,0.962962962963,0.8666666666667,0.9122807017544,0.97,0.9333333333333,0.9642857142857,0.9,0.9310344827586,0.9722222222222
31,0.9545454545455,0.9545454545455,0.9545454545455,0.9545454545455,0.9545454545455,0.9545454545455,0.9166666666667,1,0.9565217391304,0.9979338842975,0.9772727272727,0.9565217391304,1,0.9777777777778,0.9979338842975
32,0.9206349206349,0.9354838709677,0.90625,0.9206349206349,0.9208669354839,0.968253968254,1,0.9375,0.9677419354839,0.9989919354839,0.952380952381,1,0.90625,0.9508196721311,1
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,0.9172701935185,0.919614755614,0.9227116948708,0.9151443901508,0.9365957983019,0.9413497172167,0.9473159283194,0.9391414141414,0.9373984303049,0.979959585811,0.9535449043203,0.9513679651254,0.9600378787879,0.9538415655355,0.9830327016704
